#Supplemental Data. Wilkins et al. Plant Cell (2016) 10.1105/tpc.16.00158.,,,,,,,,
#Supplemental Data Set 1: Differentially expressed genes,,,,,,,,
,,,,,,,,
gene,HEAT_UP,HEAT_DOWN,RECOV_HEAT_UP,RECOV_HEAT_DOWN,DROUGHT_UP,DROUGHT_DOWN,RECOV_DROUGHT_UP,RECOV_DROUGHT_DOWN
ChrSy.fgenesh.gene.37,0,0,0,0,8,0,1,0
LOC_Os01g01610,6,0,0,0,0,0,0,0
LOC_Os01g01620,0,0,0,0,1,0,2,0
LOC_Os01g02060,0,0,0,0,2,0,2,0
LOC_Os01g02080,0,0,0,0,0,2,0,1
LOC_Os01g02160,0,0,0,0,2,0,0,0
LOC_Os01g02290,0,0,0,0,1,0,0,0
LOC_Os01g02300,0,0,0,0,1,0,0,0
LOC_Os01g02890,0,0,0,0,2,0,0,0
LOC_Os01g02920,0,0,0,0,4,0,0,0
LOC_Os01g03130,0,0,0,0,1,0,0,0
LOC_Os01g03330,0,0,0,0,8,0,3,0
LOC_Os01g03340,0,0,0,0,8,0,2,0
LOC_Os01g03360,0,0,0,0,3,0,1,0
LOC_Os01g03549,0,0,0,0,0,1,0,0
LOC_Os01g03730,0,0,0,0,1,0,3,0
LOC_Os01g03750,0,0,0,0,6,0,1,0
LOC_Os01g03914,0,0,0,0,2,0,1,0
LOC_Os01g04005,0,0,0,0,1,0,0,0
LOC_Os01g04160,0,0,0,0,4,0,0,0
LOC_Os01g04330,0,0,0,0,9,0,1,0
LOC_Os01g04340,40,0,13,0,0,0,0,0
LOC_Os01g04360,63,0,26,0,0,0,0,0
LOC_Os01g04370,63,0,31,0,0,0,0,0
LOC_Os01g04380,43,0,19,0,0,0,0,0
LOC_Os01g04580,0,0,0,0,1,0,0,0
LOC_Os01g04590,0,0,0,0,10,0,1,0
LOC_Os01g05830,0,0,0,0,7,0,0,0
LOC_Os01g05960,0,0,0,0,1,0,0,0
LOC_Os01g06560,0,0,0,0,12,0,6,0
LOC_Os01g06590,0,0,0,0,3,0,0,0
LOC_Os01g06660,8,0,0,0,0,0,0,0
LOC_Os01g06730,0,0,0,0,1,0,0,0
LOC_Os01g06740,0,0,0,0,2,0,1,0
LOC_Os01g07120,0,0,0,0,7,0,1,0
LOC_Os01g07300,0,0,0,0,2,0,0,0
LOC_Os01g07530,12,0,0,0,8,0,1,0
LOC_Os01g07970,0,0,0,0,1,0,0,0
LOC_Os01g08020,0,0,0,0,0,0,0,1
LOC_Os01g08120,0,0,0,0,1,0,0,0
LOC_Os01g08380,0,0,0,0,1,0,0,0
LOC_Os01g08440,0,3,0,0,0,0,0,0
LOC_Os01g08470,0,0,0,0,3,0,1,0
LOC_Os01g08560,12,0,0,1,0,0,0,0
LOC_Os01g08780,8,0,0,0,0,0,0,0
LOC_Os01g08860,48,0,7,0,0,0,0,0
LOC_Os01g09540,0,1,0,0,0,0,0,0
LOC_Os01g09620,1,0,0,0,0,0,0,0
LOC_Os01g09640,0,0,0,0,14,0,5,0
LOC_Os01g09700,0,1,0,0,0,0,0,0
LOC_Os01g09800,0,0,0,0,1,0,0,0
