"regulator","differential_regulatory_score","gene_symbol","synonym","Gene_Ontology","Trait_Ontology","Plant_Ontology"
"LOC_Os03g60560",0.607209812399948,"_","ZFP182","GO:0046872 - metal ion binding",NA,NA
"LOC_Os03g43810",0.430587993824553,"PIL12","OsPIL12, OsbHLH103, bHLH103","GO:0009414 - response to water deprivation, GO:0005634 - nucleus","TO:0002616 - flowering time, TO:0000276 - drought tolerance",NA
"LOC_Os02g47660",0.419592833221082,"BLR1","OsbHLH079, OsbHLH79, bHLH079, bHLH79, OsBLR1","GO:0001558 - regulation of cell growth, GO:0009734 - auxin mediated signaling pathway, GO:0048573 - photoperiodism, flowering, GO:0005634 - nucleus, GO:0043565 - sequence-specific DNA binding, GO:0046983 - protein dimerization activity, GO:0003700 - transcription factor activity, GO:0009742 - brassinosteroid mediated signaling, GO:0009741 - response to brassinosteroid stimulus, GO:0030308 - negative regulation of cell growth, GO:0048366 - leaf development","TO:0000396 - grain yield, TO:0000397 - grain size, TO:0002676 - brassinosteroid content, TO:0000137 - days to heading, TO:0002730 - grain shape, TO:0000206 - leaf angle, TO:0000734 - grain length, TO:0002677 - brassinosteroid sensitivity, TO:0000655 - leaf development trait",NA
"LOC_Os09g36730",0.413198083899641,"DLN231","R2R3-MYB, OsDLN231, OsMYB108, MYB108, OsMYB31, MYB31","GO:0045892 - negative regulation of transcription, DNA-dependent, GO:0010224 - response to UV-B, GO:0009753 - response to jasmonic acid stimulus, GO:0009751 - response to salicylic acid stimulus, GO:0003682 - chromatin binding, GO:0003677 - DNA binding, GO:0051607 - defense response to virus, GO:0009809 - lignin biosynthetic process","TO:0000148 - viral disease resistance, TO:0000020 - black streak dwarf virus resistance, TO:0000731 - lignin content",NA
"LOC_Os08g36740",0.394478888256365,"_","OsbHLH121","GO:0010500 - transmitting tissue development, GO:0048462 - carpel formation, GO:0080126 - ovary septum development",NA,NA
"LOC_Os05g44400",0.393565761885216,"GATA1","OsGATA1, OsGATA6, GATA6","GO:0005634 - nucleus, GO:0045944 - positive regulation of transcription from RNA polymerase II promoter, GO:0030154 - cell differentiation, GO:0008270 - zinc ion binding, GO:0006366 - transcription from RNA polymerase II promoter, GO:0005667 - transcription factor complex, GO:0003682 - chromatin binding",NA,NA
"LOC_Os08g36790",0.39300108068038,"TRAB1","OsbZIP66, OsABF5, Osbzip66, OsTRAB1, bZIP66, ABF5","GO:0006351 - transcription, DNA-dependent, GO:0005634 - nucleus, GO:0009738 - abscisic acid mediated signaling, GO:0043565 - sequence-specific DNA binding, GO:0046983 - protein dimerization activity, GO:0003700 - transcription factor activity",NA,NA
"LOC_Os09g29820",0.392458282457235,"TFX1","OsbZIP73, bZIP73, OsTFX1","GO:0009409 - response to cold, GO:0042742 - defense response to bacterium, GO:0003700 - transcription factor activity, GO:0043565 - sequence-specific DNA binding","TO:0000455 - seed set percent, TO:0000396 - grain yield, TO:0000175 - bacterial blight disease resistance, TO:0000333 - sugar content, TO:0002667 - abscisic acid content, TO:0000605 - hydrogen peroxide content, TO:0000303 - cold tolerance","PO:0020103 - flag leaf"
"LOC_Os02g42585",0.389678060036221,"ERF141","OsERF#141, OsERF141, AP2/EREBP#019, AP2/EREBP19","GO:0009266 - response to temperature stimulus, GO:0048653 - anther development, GO:0009555 - pollen development, GO:0003700 - transcription factor activity, GO:0006351 - transcription, DNA-dependent, GO:0005634 - nucleus, GO:0003677 - DNA binding, GO:0010208 - pollen wall assembly","TO:0000437 - male sterility, TO:0000432 - temperature response trait","PO:0001004 - anther development stage , PO:0001007 - pollen development stage"
"LOC_Os02g43330",0.387946078487023,"HOX24","Oshox24, OsHox24, OsSLI1","GO:0009738 - abscisic acid mediated signaling, GO:0043565 - sequence-specific DNA binding, GO:0003700 - transcription factor activity, GO:0005634 - nucleus, GO:0006350 - transcription, GO:0006355 - regulation of transcription, DNA-dependent, GO:0006950 - response to stress","TO:0000168 - abiotic stress trait, TO:0000615 - abscisic acid sensitivity",NA
