Species	Protein ID	Family	Genome/EST	Category
Oryza sativa subsp. japonica	LOC_Os02g27060.1	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g27060.2	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g48370.1	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g48370.2	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g41730.1	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g41730.2	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g26390.1	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os09g37250.1	ARID	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g08320.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g09450.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g09450.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g13030.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g13030.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g18360.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g48444.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.3	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.4	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.5	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.6	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os01g53880.7	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g13520.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g49160.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g56120.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g56120.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g56120.3	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g57250.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os02g57250.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g43400.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g43410.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g53150.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g53150.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os03g58350.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08570.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08570.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08570.3	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08570.4	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08570.5	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g08570.6	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g09480.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g14180.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g14180.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g44810.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g44810.2	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g44810.3	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os05g48590.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g07040.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g22870.1	AUX/IAA	Genome	Other
Oryza sativa subsp. japonica	LOC_Os06g22870.2	AUX/IAA	Genome	Other
